,label,text
22098,0,苹果不甜，家里人说难吃。拿到的和图上完全不一样。一看就是打农药不正常的颜色，我说退回去，老婆说包装拆过了，我说那就扔了吧。虽然事实还没扔，但真的难吃。
57876,0,就在美美百?
36890,1,洗完澡想吃雪糕就去超市买 可是是因为快放假了么雪糕种类少的要死我觉得雀巢草莓味儿的大碗雪糕没有蒙牛的好吃 于是没办法买了两个牛奶味的雪糕一起吞掉。妈妈刚才电话里说沈阳不冷 可是我看了一下天气预报回去那天零下二十三度。默默地决定回去去批发市场批发小零食宅在家里。
17424,1,苹果不大不小，味道一班，价格小贵
33503,0,说有赠品飞科吹风机，没发货。客服说没这回事，什么意思？
43437,1,质量挺好的，一直信赖京东???
46474,0,京东商城卖的就是狗屎
38473,0,拒绝蒙牛，以后再也不买蒙牛的产品了
55969,1,位置靠近区体校，不是正市区中心，但交通都算方便，离火车站也近。各方面都为标准4星酒店，服务比较热情，可能和管理有关。以前都是住凤凰，甬江的，这次在机场看到有酒店人员打着免费接机的牌子就注意上了，回程就住到该酒店，去机场只要和前台预约一下就可以了，一个人都送机。对于往返机场的旅客还是很方便的。
3412,0,和老版没有什么不同，没意识，钱花糟了
52126,0,1.硬盘速度太慢 2.整机性能一般，多开几个QQ，再开视频就卡的厉害 3.触摸屏下的按键很硬，使用很不方便 4.发热厉害，机子底部明显发烫 5.散热风扇声音比较大，特别是晚上安静的时候明显
21358,0,拆开一看还有烂的，跟描述的不一样
41207,1,裤子很不错，面料很好，穿起来非常帅气，喜欢！
31264,0,大家都过来看，买的时候*昨天是*说什么秒杀，今天有是*，某些平台真是会玩。你们自己看着办吧，价格保护也是无效。
51721,0,发热是普遍的，不过从07年我就开始使用的6515b的情况看，这个热是没有带来任何问题的，你不要常用手去摸当它不存在好了，除非你要煮鸡蛋，哈哈
11530,0,各种卡，就一垃圾货，买的想好了
41191,1,给老公买的，穿上很舒服，老公很喜欢
25708,0,不是很甜！不比上次买的好！包装也一次比一次差
11889,0,2-6天发货，非要第六天才发货，第七天才到货，明明有货拖着不发，自营这速度必须差评。
2426,0,已经帮人买了很多本，最近的一次订的4本都缺了大图、目录、1－5页，大家收货一定检查清楚！
49414,1,外观很靓！配置也很均衡！我是自提的，认为性价比还是很高的！装系统也不是那么麻烦！硬盘改为IDE模式，再选择光驱优先启动。然后就可以自动装系统分区了！
11581,0,不好 本产品非常慢 又卡 相素一点都不好 服务态度不好
41077,1,裤子很好 很值得买 小伙伴们不要犹豫了 赶快下手吧
25666,0,客服一直不回信息，什么情况，苹果上面都是一个个坑，这样的态度真心不想来买第二次了
55287,1,"无窗房,价廉物美,晚上8点入住,早上7点出门.对于一些仅仅是睡一觉的客户相当合适."
31278,0,快，这次就很快，相当快，唯一的得分点。东西还没用，不能做过多评价。不过到手了看到，价格不是太美丽。而且买后第二天就降价了。买当天还是说是最di价。价格qi pian。评价不让说真话，有意思
52541,0,为什么商务笔记本却没有摄像头呢？如果开网上会议之类的还得单配摄像头，不知道研发人员怎么考虑的。4芯的电池只能用两个多小时吧，有点不太够呵呵~不知是不是VISTA系统的缘故，开机和关机超级超级慢。
45561,0,两条裤子不是一个质量
56823,1,因为偏淡季去，当时携程280的报价还可以，酒店给的报价是打7折。酒店对面就是大海，但晚上没有灯，太黑。酒店很干净，特别是酒店服务员的态度很好。咨询旅游事宜很耐心、实用。离开时忘记带凉拖，多亏服务员的提醒。唯一的遗憾是被分在挨着走廊的位置，跟旁边房比视觉上肯定小。
13750,0,一点都不好 爸爸说不耐电，用得特别快的，诶 真是便宜没好货，真的不要买，上当了一样的。真后悔，真心不耐电 重点是连膜都不送，太坑了，一般买电器类不是都送耳机 送贴膜呐，店铺送的东西一点都不实用，没点用处，还不如不要送 真的是。千万不要买。
48503,0,质量很不错，无色差
37642,1,要不是打半折而且是买生日活动礼品，我才不会买这么贵的牛奶。原价98一箱，居然只有8瓶！虽然味道确实还不错～至于身为孕妇还敢喝蒙牛，我想说，反正光明伊利也都喝过了，不差这一个。
9891,0,平板本身还行，买了两天发现平板正在做活动送赠品，而且赠品都挺贵，这不就是变相降价，我希望商家能解决我这个问题，希望也能给我送赠品，毕竟我买了一个星期不到，退回重拍卖家也麻烦。做生意开店要灵活，客服总跟我说以当时订单为主，让我很不满意！！！
22034,0,差评，苹果个头大小不一，有几个小于5CM，第一次遇到非常不靠谱的水果产品。大家千万别相信。
32532,0,不怎么样，有一件瓶子还漏，真不知道怎么包装的，一星给物流
21245,0,口感一般 尺寸不足 没有一个到80mm
16744,1,第一次购买生鲜产品，价格实惠，京东配送物流给力，包装完好！买了好几种水果，五六个包装箱，没有一个碰坏或者变质的！特别是京东的快递师傅会等着客户当面检查完才走，态度好！有耐心！真心点赞！非常满意京东的服务！五星好评！
27473,1,家庭装，很实惠。晚上下单，第二天上午就送到了。京东快递总是那么给力。试用了一下，味道不错，挺好闻的。好评。
34156,0,失望，潘婷经常用，从来不会头痒头屑，你们家卖的啥玩意，刚用一次就痒，头屑。果断认为是假货，请大家千万不要购买。还是多跑几步去商场买吧
8652,1,各方面都相当满意！就是觉得反应没手机快，不过不要紧，我只是看看视频而已。
35271,0,感觉是假的，头发洗完当天就会特别痒还长头皮屑，头皮还起疙瘩
40020,1,很不错的衣服，价位里算不错的
815,1,我个人觉得这本书是我读过最好的一本书，书中采用为什么要这样，动机是什么，他的出现有什么背景知识，以及一个概念属于的多重含义，在不同场景的不同运用，这样的方式来进行的，我个人认为翻译的还不错，这本书的作者，真的是不愧为大师啊，每每看下几页纸，就感触颇多，那是很有体会啊，一本书能够勾起你很多的想法时，我想你读书的目的已经达到，如果你还在犹豫，那么请你果决点，绝对没有错，强烈推荐！
26672,1,做活动买的，很划算，还没有使用，后面使用会追评，目前来看值得购买。
54318,1,酒店环境和服务都是五星级的，去周围几个五星级酒店逛了一圈作对比，还是觉得万豪好，下次还会选万豪。
46226,0,尺码不对 穿不成
57949,0,携程的员工最好自己去住住看！这是一家连三星级都没有的酒店。非常不满意：1：携程上不知我什么这家酒店的综合评分是4.3。误导客人。2：酒店信价比不高，地段也太偏。3：早餐是我吃过最差的酒店，肉包里面还有苍蝇。请大家千万别去住，真的还不如Motel.补充点评 2008年6月25日 ： 工作人员态度诚恳，下次愿意再住住！
44097,0,差太差了，跟照片上的完全不一样
20113,1,吃了一个，水分比较大，味道也中规中矩，以后还会再买。派件员主动要求当面开箱查验，京东服务给力！
40372,1,很合适，牛仔裤的布料很好。男朋友很喜欢，值得购买。推荐的码数合适，客服的服务态度良好。好评好评好评~
56165,1,这个酒店给人感觉不错，位置也比较好，硬件也不错，总体性价比较高，只是卧室如果有电视会感觉更好。
8069,1,一直在京东购买，每次买都很好，至少保真，物美价廉，你值得拥有
16799,1,不是很脆了，一般般的，反正随时都在买了
35409,0,洗完头像下雪一样，用了两次全扔了。后面连S安全标志都没有，建议三思后行
19460,1,性价比很高的，味道不错，值得推荐。
58007,0,很烂的酒店
27179,1,买早了，早知道等几天又能便宜10元，京东价格变幻莫测，多观察少出手
44724,0,有色差！不满意
27362,1,在京东买过好几次了，很想，跟我以前在超市买的用起来一样，并且超划算，实惠，好评！
27415,1,一直在用，下次再购，物流也快不到一天就送到
45015,0,我拍的是加厚加绒的，给我发的是春秋款，不知道是粗心大意，还是春秋款搞处理，真的无言了
4030,1,收到宝贝后就用了，打开手机有40％电量，用完后手机很烫，不知道有的那些说手机不发热人是不是昧着良心说的，其它就还行吧，习惯好评
18213,1,快递速度和服务态度好的真是没话说了，很开心这次购物，以后还会再买再买的?，打开就可以闻到苹果香味了?，苹果正常大小，刚好一次吃一个的样子。
59307,0,前台服务极差！接机服务过1分钟都不等人！就是因为转机才住，看是附近最贵最好的，性价比实在太差。
19985,1,超级棒，比超市好，价格还公道，以后就在京东商城买水果啦?～～
41959,1,实惠。穿上很合适。老婆说挺好看的。
28466,1,很不错，挺好用的，一直信赖清扬。。。。。
6130,1,总体看上去还可以，先用着。
14741,1,1、从外型看，320的设计确实在女士机型中算是一流的。烤瓷技术外壳也不错，我用了一年了，一点都没有磨掉，除了天线上面被我摔了几次磨了一点下来以外，整个机器跟新的差不多，让我同事羡慕不己。2、从质量上看，用了这么久，也没有出过什么问题。中桥的机器听说里面的主板是韩国过来的，感觉上和科健差不多的性质，所以质量在国产机中要算是不错的了，我个人认为比波导好。3、从屏幕色彩上看，也是满不错的，虽然不能和25万色屏相比，不过也比古老的4096色好多了。内屏分辨率也蛮高的。4、从铃声上来说，带一首真人唱歌“IBELIVE”，另外也有好几首时下流行的乐曲，我觉得还是满不错的，应该说是迎合了女性爱完美的心理，不管怎么说，真人唱歌这点在现在也是非常让人有面子的。5、从流戏上来看，较一般机器的什么俄罗斯方块呀，贪吃蛇等要进步多了，虽然真正意义上只有两款游戏，游戏是有些单调，但是还是有那么一点挑战性。
37337,1,喜欢上了蒙牛酸牛奶的味道…
23898,0,果很多有点烂的，以后不会在京东买水果了
22423,0,苹果都烂成这样了，发给人家的时候也不知道检查一下，还不能退货，唉真是醉了
50915,0,感觉做工、材料什么的比以前IBM时代有了退步！当然不是360的问题！
26753,1,牙膏纸巾沐浴露洗发水都是在京东买，很快物流。都是正品旗舰店买的。
24476,0,收到货，火龙果很多位置都变颜色，里面有点烂了，唉，才发货一天就到的，怎么可能烂！说明品质不好！以后再也不在你们家买了
23433,0,是我的打开方式有问题吗？又酸又苦?
26086,0,三个，昨天收到货，没来得及吃，就烂了一个
57405,1,"观海木楼建筑别致,风景优美,环境幽静,绝佳的度假胜地,8628房间位置极好.只是每天不是24小时热水供应,很不方便.中餐厅的芒果螺(蒜蓉粉丝蒸)味道好极了!米饭又软又香!"
41073,1,裤子很合身，现在的天气穿正好，里面穿一件秋裤，
46876,0,很不满意，质量太差
7215,1,手机还不错，这个价位经济实惠。
47503,0,码数太大，退换麻烦到要死
40675,1,很好的一次购物。东西质量很好?
35328,0,用起头发还是比较滑的……不过头皮还是有些痒痒的……用了一段时间，用久些不知会不会更好
18638,1,到货速度蛮快，买给丈母娘吃的。不知道味道如何。好的话会继续买。
23550,0,前两天运费600差点坑了我，你够狠够黑也够阴的，快递不能送就不要送了，一点也不老实
8144,1,一次性买了五个，反应快，高端
1636,1,翻开这本书的时候，就让我沉浸在回忆之中，幼时的点点滴滴，有时看完一篇，自己躺在床上静静地想，静静地回忆，默默地流泪，默默地笑笑。但是所有的一切都不会回来，只是觉得那时的阳光要比现在的灿烂，那时的小草要比现在显得更加碧绿，一切都过去了 。。。。。。我只能将这些回忆带进自己的坟墓。书中的有些章节我觉得写的有些做作，但是我想这本书的主要成功之处是勾起我们的回忆，所以其它的也就无所谓了。
22118,0,当天没有拆开来看，第二天早上打开发现三个都烂了。
29770,1,老牌子好用！也很实惠！送的东西也多！对头发很不错?
31319,0,洗头过后，头爱起头皮屑
43873,0,什么鬼， 同样的码数，这个大那么多， 同款， 布料不好， 。。。。。
60457,0,不能再差了
48573,0,质量不对货不说，码数小了想换个大码的都不行。。。。
2098,1,【荐书】人手一本一点也不夸张，就是你需要读一读得好书。
18502,1,拍了两箱京东自营团队 产地直采 仙美XM 苹果烟台红富士 12粒装75mm 的苹果，味道还蛮甜的不错，还算新鲜，但个头小，大部分是60mm（见照片）多一点。还过得去吧
45325,0,领子没有弹力，穿几天就泻松了
32674,0,太假了，没有生姜的味道
44353,0,太次了，质量就是地摊货，还忘记给我发货，早知道就不要了
48575,0,收到货看到前中那个钮扣都掉了，差差差！！！！
50713,1,外观很漂亮，键盘也很漂亮，屏幕虽然不太鲜亮但是没亮点。唯一让我半夜失眠纠结的是XP驱动真难找 T.T
60291,0,入住了几次，总体感受是服务真的很差，尤其是前台接待人员，完全没有星级酒店服务人员的基本素质和职业道德，差、差、差！！！堪称上海最差的星级酒店！
8639,1,目前用着没问题，可以
50313,1,性价比超高，虽然是DOS系统，但是本本的配件驱动给的十分齐全，XP和VISET的驱动都有，简直是奇迹！
55770,1,春节期间去住了3个晚上。第一天前台给安排在2305（大床），房间在同层是最小的。第二天在我的要求下换了。总的感觉硬件一般，较旧，显得房价偏贵。房间地毯不少斑迹。酒店位置不错。服务很好，早餐也还可以。
5968,1,超值，超长待机，系统稳定流畅
55680,1,"总体来说,在上海这样的大都会,海"
49590,1,机器小巧轻便，感觉很皮实，经常出差就能感受轻便的感觉太爽了，无线上网用起来的感觉真的太棒了，在家可以用免费上网，信号还不错，正考虑是否取消宽带
44364,0,很薄，软绵绵的，颜色很不符合，不值得
1,1,作者真有英国人严谨的风格，提出观点、进行论述论证，尽管本人对物理学了解不深，但是仍然能感受到真理的火花。整本书的结构颇有特点，从当时（本书写于八十年代）流行的计算机话题引入，再用数学、物理学、宇宙学做必要的铺垫——这些内容占据了大部分篇幅，最后回到关键问题：电脑能不能代替人脑。和现在流行的观点相反，作者认为人的某种“洞察”是不能被算法模拟的。也许作者想说，人的灵魂是无可取代的。
51308,0,估计是太亮的原因，眼睛疼，担心是雪花屏，调暗点眼睛就舒服了。 机箱比较旧，机箱标明出厂时4月15日，电源线方面甚至有一根没包装，有点怀疑是返修机。电池在使用过程中只能显示百分比，不能显示剩余时间。
45125,0,裤子质量差极了，布料跟麻布一样
32633,0,产品如何，暂且不评价，一直在京东购买商品，看中的是自营物流快，这次中间环节出错误导致晚了两天收到货，收到的包裹包装是多垃圾的，此次购物真的是差评。。。。
60180,0,不好 不好 不好
24467,0,买了三个，吃了一个，不怎么甜，口感不好，隔了两天，其余两个全部坏掉了，这是什么道理，不新鲜，个头也不大很小，相当差劲的火龙果。
4070,1,很好，支持国货。。。
31794,0,洗发水是假的，用过以后头发干燥，头皮屑变多了。一直用的都是清扬，只是第一次从京东买！真失望
60142,0,1.价格不公正，明明携程网上写的是￥200，结果住了一晚上第二天结帐时被告知￥390元，而且，预付订金的时候也没人告知价格，付订金时根本无人告知，只知道收钱，收钱时小姐把钱从客人手上抢过去。2.没有早餐，入住时携程写的双早，结果被告知早餐要￥10元/人。3.房内标明有桑拿足浴室，找了半天没有找到，问到前台（自己找下去）被告知桑拿足浴室根本没有设立好。4.卡拉OK室价格不公正，￥280元/场/人，和上海的歌城在黄金周的价格一样。5.酒店没有好路，一路上颠簸进去，结果车子费油不说，离合器还差一点挂掉，路上没有一个指路牌。6.奉劝广大住客，在和携程网确认价格之后，要再打电话去酒店确认价格，因为携程网上价格和酒店价格不同，相差甚元，不知携程如何更新他们的资料？
7354,1,可以。。。。。。。。。。。。。
53243,1,大楼很漂亮。价格不便宜。其他一般。就是索菲特听起来很牛。
48520,0,严重粘毛。什么情况这是。特别容易脏…
42826,1,裤子质量蛮好的。蛮喜欢这条裤子。下次还会来的。哈哈
31154,1,宝贝收到了，京东物流就是快，刚刚用下，很好用，，
4152,1,感觉挺好用的，就是屏幕小一点，有时候触碰不是非常灵敏，刚用具有些卡，但是活动时买的，这个价位就不错了，可以。
44961,0,挺差的，会起毛球
15309,0,"质量太差,不到一年两块电板都不行了,一接电话就自动关机.当时还在保质期,那儿的工作人员也检查不出什么来,现在过了保质期,坏得更历害,只能当手表用了.而且按键也不灵了,外壳也掉漆.我的天,一年半都还有,我只好换手机了."
212,1,这是一本非常具有启发儿童想象力的一本好书。小毛毛虫每天吃的东西上都会留下一个生动的“洞”，这对孩子来说充满了无限的新奇感和想象力。我想这本书非常适合两岁左右的孩子阅读，我的宝宝还不到两岁，刚开始看这本书还没有感觉，因为对书前的那片具有梵高特点的抽象彩绘没有什么反应，可能是之前看的图画书都太中规中矩了，对外国画家的具有浓烈色彩感的著作不太适应。但是我已经看到了它的巨大的魅力。力荐。
48709,0,衣服太大，两个我都可以穿的进去了
32966,0,买完之后降价了，，，心里不舒服。。。就是不舒服。。
10492,0,太卡了，真是一分钱一分货。华为就是一烂货。。。光预装软件就把运行内存占满，卡的死死的。
6970,1,买来给90岁老人用，很好，很满意
26594,1,包装可以挺好的，买来送人的，没有什么损坏，大热天的辛苦快递小哥了!哦！速度也是挺快的。使用效果应该也不错我一直都用沙宣，
41354,1,第三次买了.好评.质量好颜色正，卖家推荐码子合适，
16200,1,自从有了京东，家里两个冰箱每天都是满的，每天一醒来就是烦恼吃什么好，东西太多了。难道这就是幸福的烦恼？
32695,0,我晕，买的时间*买完后*这价格，乱标价，以后不要相信打折了
29492,1,一如既往的支持，日期也很够，可以用好久了
32525,0,用完之后好多好多的头屑啊！！！！！
47951,0,产品很差，太大，变形，怀疑是假货，还不给退，
2995,0,破书啊呸，真是一本破书，孩子看了直接吓哭了。大卫画的跟骷髅一样。
42824,1,裤子还可以，只是前几天为了用店铺优惠券一下买了三条裤子，算下来还比今天的活动贵，不开心！！！
60444,0,很普通的酒店，好像旅店一样
30332,1,我现在最喜欢的洗发水，特别好用，虽然相比其他有点儿小贵，但是也值。
49597,1,犹豫了很久，终于下决心买了。外观挺漂亮。附带的操作系统也漂亮。总体感觉不错
34197,0,是不是假货？好像跟超市的不一样呢！
19857,1,近来一直在京东上买水果，口感好。
23576,0,太差了 还没有我的拳头大，一共20个，千万别再上当了
43857,0,穿在身上掉色严重，连续盐水泡了1天洗了之后穿身上还是掉色，质量真的差，差到家了
53574,1,"房间还不错,装修设施很不错,可惜装修设计太一般,服务一般,门童比较懒!"
1098,1,钱德勒的书，本本都是真正的精品，给予任何高的评价也不为过。所谓真正的艺术，是存在的，比如这本书。文字上行云流水般，酣畅淋漓。情节上出神入化，丝毫不牵强造作。意境上松弛有度，回味悠长。这样的书，读来令人心旷神怡，不舍放下。比喻用的鬼斧神工，充满智慧。这就是艺术品。中国的作家/作品是属于农村的，钱德勒的小说是属于城市的 --- 这是王朔说的话。
55960,1,员工服务好，房间舒适如家，硬件设施应有尽有，保持。
47140,0,一个星期多才打电话给我说到了，真的很气人，玛德衣服都没见到就给我签收了，直接不要了，一星都不想给！
7343,1,不错儿子非常满意喜欢
26448,1,套装更实惠，去头皮屑的，全家都可以用
16780,1,苹果的外表比较新鲜，比较脆，不过不怎么甜
21371,0,上面几个是烟台苹果，吃到最后几个就不是了，这还真是有心了
25931,0,老实说，东西口感还可以，但是品相特别差，而且几乎是每一个都这样，我在别的地方上买的，除了快递慢点，比这个好太多了
11420,0,还没用，不晓得
50675,1,性价比很好，优点大家都说了，不再赘述。 各位如果想用XP一定用SP3的，所有的驱动都涵盖了，不用上网找（可能会出现一些细小的不兼容）
47897,0,掉色 拿回来手上都是黑的 洗了几遍都还是掉色，买回来一个多月了没穿过一次，对于这种裤子也就只有在网上买！店主的良心被狗吃了？???
47231,0,一般般吧 不怎么透气
37582,1,看我是有多支持家乡产业呀！从早上到现在已经是第二盒了！而且不偏不倚 喝完蒙牛喝伊利！ 这冰牛奶真是喝的我冰冰凉透心亮啊！
48759,0,垃圾衣服，洗衣机一洗都是毛，把所有衣服都整上毛了，怎么都弄不下去
29618,1,刚收到宝贝，还没用；看着跟实体店一模一样，一如既往的信赖京东
29445,1,很好，很舒服，清扬就是好用，谢谢老板，希望一直好用，好好好好好好好好好，快乐
11938,0,还没收到货时价格就降了，然后第二天又降了一次，第三天价格又不一样了，然后申请价格保护还被拒绝。该产品触屏反应较慢
35136,0,用过之后头皮发痒，有头皮屑之前用其它的也没这样很失望的一次购物！
24800,0,箱子上贴着 生鲜冷链 实际上压根就没有！直接常温下送来的！打开盒子 明显里面的火龙果的包装袋都是水 还烂掉了一个 另外两个还能凑合
52685,0,华硕做工有待提高，键盘中部略微凸出，不影响使用。 其他暂时没发现什么。
23586,0,苹果比之前吃过的烟台苹果差多了，不知道什么原因
